,Brand,Model,Price(CAD),Price_save(CAD),Memory-Built-in(GB),Ram_size(GB),Display_resolution(pixels),Display_size(in),Colour,CPU,Front-Facing Camera Resolution(MP),Rear Camera Resolution(MP)  
0,SAMSUNG,Galaxy A10e,179.99, 20,32.0,2,720 x 1560,5.8,Black,Octa-core Snapdragon 855,5.0,8.0
1,SAMSUNG,Galaxy S20,1849.99,no sale,128.0,2,720 x 1560,5.8,Black,Octa-core Snapdragon 865,5.0,8.0
2,SAMSUNG,Galaxy S20,1319.99,no sale,128.0,2,720 x 1560,5.8,Black,Octa-core Snapdragon 865,5.0,8.0
4,SAMSUNG,Galaxy S20,2109.99,no sale,512.0,2,720 x 1560,5.8,Black,Octa-core Snapdragon 865,5.0,8.0
5,SAMSUNG,Galaxy A20,149.97, 200,512.0,3,720 x 1560,5.8,Black,Octa-core Snapdragon 865,8.0,13.0
6,SAMSUNG,Galaxy Note10+,939.99, 560,256.0,12,3040 x 1440,6.8,Aura Black,Snapdragon 855,10.0,12.0
7,SAMSUNG,Galaxy A70,629.99,no sale,128.0,6,1080 x 2400,6.7,Aura Black,Snapdragon 855,32.0,32.0
8,SAMSUNG,Galaxy S20+,1579.99,no sale,128.0,6,1080 x 2400,6.7,Black,Octa-core Snapdragon 865,32.0,32.0
9,SAMSUNG,Galaxy A50,449.95,no sale,64.0,4,1080 x 2340,6.4,Black,Octa-core Snapdragon 865,25.0,25.0
10,SAMSUNG,Galaxy A51,368.9, 131,64.0,4,1080 x 2340,6.4,Black,Octa-core Snapdragon 865,25.0,25.0
11,SAMSUNG,Galaxy S20+,1579.99,no sale,128.0,4,1080 x 2340,6.4,Black,Octa-core Snapdragon 865,25.0,25.0
12,SAMSUNG,Galaxy A50,399.95,no sale,64.0,4,1080 x 2340,6.4,Black,Octa-core Snapdragon 865,25.0,25.0
13,SAMSUNG,Galaxy A20,349.99,no sale,32.0,3,720 x 1560,6.4,Black,Octa-core Snapdragon 865,8.0,13.0
14,SAMSUNG,Galaxy S10,639.99, 360,128.0,8,3040 x 1440,6.1,Prism Black,Octa-core Snapdragon 855,10.0,16.0
15,SAMSUNG,Galaxy Note10+,1459.99,no sale,256.0,12,3040 x 1440,6.8,Prism Black,Snapdragon 855,10.0,12.0
16,SAMSUNG,Galaxy A50,249.99, 200,256.0,4,1080 x 2340,6.8,Prism Black,Snapdragon 855,25.0,25.0
17,SAMSUNG,Galaxy S7,163.0, 134,32.0,4,2560 x 1440,6.8,Black Onyx,1.6GHz,5.0,12.0
18,SAMSUNG,Galaxy S9,389.84, 210,64.0,4,samoled,5.8,Midnight Black,Qualcomm MSM8998 Snapdragon 845,8.0,12.0
19,SAMSUNG,Galaxy S8,344.0, 155,64.0,4,2960 x 1440,5.8,Midnight Black,2.35GHz; 1.9GHz,8.0,12.0
20,SAMSUNG,Galaxy S10+,1129.99,no sale,128.0,8,3040 x 1440,6.4,Midnight Black,Octa-core Snapdragon 855,10.0,16.0
21,SAMSUNG,Galaxy J3,99.99, 90,128.0,2,1280 x 720,6.4,Midnight Black,Octa-core Snapdragon 855,5.0,8.0
22,SAMSUNG,Galaxy S10,979.99,no sale,128.0,8,3040 x 1440,6.1,Midnight Black,Octa-core Snapdragon 855,10.0,16.0
